Name,Rating,Type,Address,Average budget,Maximum capacity
Le Chalet De La Forêt,4.25,Français,                1180 Uccle ,180,Not Available
La Buvette,4.3,Français,                1060 Saint-Gilles ,58,Not Available
Fanny Thai,4.25,Thaïlandais,                1000 Bruxelles,24,Not Available
Brinz'L,4.166666667,Français,                1180 Uccle ,70,Not Available
Gou,4.166666667,Français,                1150 Woluwe-Saint-Pierre ,35,Not Available
Anata,4.125,Japonais,                1000 Bruxelles,30,Not Available
La Cigale,4,Français,                1180 Uccle ,39,Not Available
Un Goût De Chez Nous,4,Belge,                1140 Evere ,30,Not Available
Vert De Rouge,4,Asiatique,                1170 Watermael-Boitsfort ,25,Not Available
Chez Bruno,4,Italien,                1020 Laeken ,35,Not Available
La Cantina,4,Brésilien,                1000 Bruxelles,25,Not Available
Le Dillens,4,Européen,                1060 Saint-Gilles ,24,Not Available
Sésame,4,Français,                1160 Auderghem ,53,Not Available
Paya Thai,4,Thaïlandais,                1083 Ganshoren ,23,Not Available
Quincaillerie (la),4,Français,                1050 Ixelles ,32,Not Available
Poz,4,Français,                1060 Saint-Gilles ,18,Not Available
Il Carpaccio,4,Italien,                1180 Uccle ,30,Not Available
L'Huitrière,4,Français,                1000 Bruxelles,40,Not Available
Cheese Cake Cafe,4,Européen,                1000 Bruxelles,35,Not Available
Dionysos,4,Belge,                1160 Auderghem ,25,Not Available
Les Deux Frères,4,Français,                1180 Uccle ,35,Not Available
Caffè Al Dente,4,Italien,                1180 Uccle ,35,Not Available
Poivre Et Sel,4,Français,                1050 Ixelles ,32,Not Available
Knees To Chin,4,Asiatique,                1000 Bruxelles,15,Not Available
Meishi,4,Asiatique,                1000 Bruxelles,30,Not Available
Gourmandises,4,Français,                1081 Koekelberg ,Not Available,Not Available
La Bastoche,4,Italien,                1050 Bruxelles,22,Not Available
Lulu Home Interior & Café,4,Français,                1050 Bruxelles,8,Not Available
Cup 28,4,Français,                1000 Bruxelles,15,Not Available
Mezze Polis,4,Grec,                1080 Molenbeek-Saint-Jean ,9,Not Available
Pampas Brussel,4,Asiatique,                1000 Bruxelles,43,Not Available
Chez Augusta,4,Européen,                1050 Ixelles ,22,Not Available
Le Printemps Fleuri,4,Chinois,                1180 Uccle ,Not Available,Not Available
Ellis Gourmet Burger,4,Américain,                1000 Bruxelles,30,Not Available
"La Fabrique, Ixelles",4,Européen,                1050 Ixelles ,38,Not Available
Les Super Filles Du Tram,4,Américain,                1050 Ixelles ,26,Not Available
Food Factory,4,Français,                1000 Bruxelles,Not Available,Not Available
Fait Maison,4,Belge,                1000 Bruxelles,10,Not Available
"Sushi Shop, Woluwe-st-pierre",4,Japonais,                1150 Woluwe-Saint-Pierre ,29,Not Available
Walkin'Thai,4,Thaïlandais,                1050 Ixelles ,17,Not Available
"Le Pain Du Châtelain, Ixelles",4,Européen,                1050 Ixelles ,22,Not Available
BRUGMANN,3.75,Asiatique,                1190 Forest ,38,Not Available
Le Coq En Pâte,3.833333333,Italien,                1200 Woluwe-Saint-Lambert ,40,Not Available
